GeneSymbol	Ensembl_gene_ID	Ensembl_transcript_ID
ATP6V1G1	ENSG00000136888	ENST00000677543
BAZ2B	ENSG00000123636	ENST00000718451
BAZ2B	ENSG00000123636	ENST00000392783
BAZ2B	ENSG00000123636	ENST00000392782
BAZ2B	ENSG00000123636	ENST00000548440
BAZ2B	ENSG00000123636	ENST00000474437
BAZ2B	ENSG00000123636	ENST00000426648
BAZ2B	ENSG00000123636	ENST00000551504
BAZ2B	ENSG00000123636	ENST00000485917
BAZ2B	ENSG00000123636	ENST00000294905
BAZ2B	ENSG00000123636	ENST00000482501
BAZ2B	ENSG00000123636	ENST00000472953
BAZ2B	ENSG00000123636	ENST00000441143
BAZ2B	ENSG00000123636	ENST00000467184
BAZ2B	ENSG00000123636	ENST00000482503
BAZ2B	ENSG00000123636	ENST00000541068
BAZ2B	ENSG00000123636	ENST00000437839
BAZ2B	ENSG00000123636	ENST00000483316
BAZ2B	ENSG00000123636	ENST00000552327
BNIP2	ENSG00000140299	ENST00000607373
BNIP2	ENSG00000140299	ENST00000439052
BNIP2	ENSG00000140299	ENST00000478981
BNIP2	ENSG00000140299	ENST00000415213
BNIP2	ENSG00000140299	ENST00000560776
BNIP2	ENSG00000140299	ENST00000448414
BNIP2	ENSG00000140299	ENST00000464390
BNIP2	ENSG00000140299	ENST00000560458
BNIP2	ENSG00000140299	ENST00000417312
BNIP2	ENSG00000140299	ENST00000557987
BNIP2	ENSG00000140299	ENST00000477543
BTAF1	ENSG00000095564	ENST00000265990
BTAF1	ENSG00000095564	ENST00000471217
BTAF1	ENSG00000095564	ENST00000476401
C15orf39	ENSG00000167173	ENST00000563905
C15orf39	ENSG00000167173	ENST00000562637
C15orf39	ENSG00000167173	ENST00000360639
C15orf39	ENSG00000167173	ENST00000394987
C15orf39	ENSG00000167173	ENST00000564848
C15orf39	ENSG00000167173	ENST00000567617
C15orf39	ENSG00000167173	ENST00000565074
CAB39	ENSG00000135932	ENST00000258418
CAB39	ENSG00000135932	ENST00000410084
CAB39	ENSG00000135932	ENST00000409788
CAB39	ENSG00000135932	ENST00000484398
CAB39	ENSG00000135932	ENST00000478152
CAB39	ENSG00000135932	ENST00000493540
CAMP	ENSG00000164047	ENST00000296435
CAMP	ENSG00000164047	ENST00000652295
CAPZA2	ENSG00000198898	ENST00000464223
CAPZA2	ENSG00000198898	ENST00000484325
CAPZA2	ENSG00000198898	ENST00000414148
CAPZA2	ENSG00000198898	ENST00000449080
CAPZA2	ENSG00000198898	ENST00000361183
CAPZA2	ENSG00000198898	ENST00000490693
CAPZA2	ENSG00000198898	ENST00000426421
CAPZA2	ENSG00000198898	ENST00000461878
CAPZA2	ENSG00000198898	ENST00000417431
CAPZA2	ENSG00000198898	ENST00000466023
CAPZA2	ENSG00000198898	ENST00000464669
CAPZA2	ENSG00000198898	ENST00000465607
CAPZA2	ENSG00000198898	ENST00000496161
CARM1	ENSG00000142453	ENST00000327064
CARM1	ENSG00000142453	ENST00000710361
CARM1	ENSG00000142453	ENST00000588947
CARM1	ENSG00000142453	ENST00000590699
CARM1	ENSG00000142453	ENST00000344150
CARM1	ENSG00000142453	ENST00000586221
CARM1	ENSG00000142453	ENST00000590039
CARM1	ENSG00000142453	ENST00000589693
CARM1	ENSG00000142453	ENST00000586508
CARM1	ENSG00000142453	ENST00000586298
CARM1	ENSG00000142453	ENST00000592516
CD3E	ENSG00000198851	ENST00000529713
CD3E	ENSG00000198851	ENST00000528435
CD3E	ENSG00000198851	ENST00000361763
CD3E	ENSG00000198851	ENST00000526146
CD3E	ENSG00000198851	ENST00000528600
CD3E	ENSG00000198851	ENST00000531913
CD48	ENSG00000117091	ENST00000368046
CD48	ENSG00000117091	ENST00000613788
CD48	ENSG00000117091	ENST00000368045
CD52	ENSG00000169442	ENST00000492808
CD52	ENSG00000169442	ENST00000470468
CD52	ENSG00000169442	ENST00000374213
CD74	ENSG00000019582	ENST00000009530
CD74	ENSG00000019582	ENST00000377795
CD74	ENSG00000019582	ENST00000523836
CD74	ENSG00000019582	ENST00000518797
CD74	ENSG00000019582	ENST00000523813
CD74	ENSG00000019582	ENST00000524315
CD74	ENSG00000019582	ENST00000353334
CD74	ENSG00000019582	ENST00000523208
CD74	ENSG00000019582	ENST00000517752
CD74	ENSG00000019582	ENST00000522246
CD74	ENSG00000019582	ENST00000517791
CD74	ENSG00000019582	ENST00000522153
CDKN1C	ENSG00000273707	ENST00000631604
CDKN1C	ENSG00000273707	ENST00000616138
CDKN1C	ENSG00000273707	ENST00000313407
CDKN1C	ENSG00000273707	ENST00000633020
CDKN1C	ENSG00000273707	ENST00000631746
CDKN1C	ENSG00000129757	ENST00000414822
CDKN1C	ENSG00000129757	ENST00000430149
CDKN1C	ENSG00000129757	ENST00000440480
CDKN1C	ENSG00000129757	ENST00000380725
CDKN1C	ENSG00000129757	ENST00000681969
CDKN1C	ENSG00000129757	ENST00000647251
CDKN1C	ENSG00000129757	ENST00000471157
CEACAM8	ENSG00000124469	ENST00000244336
CEACAM8	ENSG00000124469	ENST00000599005
CHD9	ENSG00000177200	ENST00000447540
CHD9	ENSG00000177200	ENST00000615216
CHD9	ENSG00000177200	ENST00000566029
CHD9	ENSG00000177200	ENST00000561869
CHD9	ENSG00000177200	ENST00000565832
CHD9	ENSG00000177200	ENST00000564582
CHD9	ENSG00000177200	ENST00000564845
CHD9	ENSG00000177200	ENST00000563410
CHD9	ENSG00000177200	ENST00000398510
CHD9	ENSG00000177200	ENST00000562785
CHD9	ENSG00000177200	ENST00000564255
CHD9	ENSG00000177200	ENST00000565803
CHD9	ENSG00000177200	ENST00000569794
CHD9	ENSG00000177200	ENST00000565442
CHD9	ENSG00000177200	ENST00000562791
CHD9	ENSG00000177200	ENST00000569225
CHD9	ENSG00000177200	ENST00000219084
CHD9	ENSG00000177200	ENST00000565119
CHD9	ENSG00000177200	ENST00000562806
CHD9	ENSG00000177200	ENST00000564600
CHD9	ENSG00000177200	ENST00000564641
CHURC1	ENSG00000258289	ENST00000607599
CHURC1	ENSG00000258289	ENST00000548752
CHURC1	ENSG00000258289	ENST00000549115
CHURC1	ENSG00000258289	ENST00000551947
CHURC1	ENSG00000258289	ENST00000552002
CHURC1	ENSG00000258289	ENST00000556089
CHURC1	ENSG00000258289	ENST00000551093
CHURC1	ENSG00000258289	ENST00000547625
CLDND1	ENSG00000080822	ENST00000502288
CLDND1	ENSG00000080822	ENST00000507874
CLDND1	ENSG00000080822	ENST00000394180
CLDND1	ENSG00000080822	ENST00000506885
CLDND1	ENSG00000080822	ENST00000503004
CLDND1	ENSG00000080822	ENST00000341181
CLDND1	ENSG00000080822	ENST00000394185
CLDND1	ENSG00000080822	ENST00000394181
CLDND1	ENSG00000080822	ENST00000513873
CLDND1	ENSG00000080822	ENST00000510545
CLDND1	ENSG00000080822	ENST00000511081
CLDND1	ENSG00000080822	ENST00000513287
CLDND1	ENSG00000080822	ENST00000506927
CLDND1	ENSG00000080822	ENST00000511667
CLDND1	ENSG00000080822	ENST00000513452
CLDND1	ENSG00000080822	ENST00000502299
CLDND1	ENSG00000080822	ENST00000512147
CLDND1	ENSG00000080822	ENST00000508902
CLDND1	ENSG00000080822	ENST00000510541
CLDND1	ENSG00000080822	ENST00000508503
CLDND1	ENSG00000080822	ENST00000514537
CLDND1	ENSG00000080822	ENST00000507411
CLDND1	ENSG00000080822	ENST00000515620
CLDND1	ENSG00000080822	ENST00000507944
CLDND1	ENSG00000080822	ENST00000508659
CLDND1	ENSG00000080822	ENST00000503621
CLDND1	ENSG00000080822	ENST00000503799
CLDND1	ENSG00000080822	ENST00000508071
CLDND1	ENSG00000080822	ENST00000513988
CLDND1	ENSG00000080822	ENST00000502980
CLDND1	ENSG00000080822	ENST00000506575
CLIC3	ENSG00000169583	ENST00000494426
CLIC3	ENSG00000169583	ENST00000480181
CLIC3	ENSG00000169583	ENST00000473911
CMPK1	ENSG00000162368	ENST00000371873
CMPK1	ENSG00000162368	ENST00000371871
CMPK1	ENSG00000162368	ENST00000699074
CMPK1	ENSG00000162368	ENST00000471289
CMPK1	ENSG00000162368	ENST00000450808
CMPK1	ENSG00000162368	ENST00000699075
CMPK1	ENSG00000162368	ENST00000371870
CMTM6	ENSG00000091317	ENST00000205636
CMTM6	ENSG00000091317	ENST00000478886
CMTM6	ENSG00000091317	ENST00000495177
CNIH4	ENSG00000143771	ENST00000366858
CNIH4	ENSG00000143771	ENST00000366857
CNIH4	ENSG00000143771	ENST00000465271
CNIH4	ENSG00000143771	ENST00000366860
CNIH4	ENSG00000143771	ENST00000468318
CNIH4	ENSG00000143771	ENST00000366856
CNIH4	ENSG00000143771	ENST00000477413
CNIH4	ENSG00000143771	ENST00000469200
COMMD3	ENSG00000148444	ENST00000602574
COMMD3	ENSG00000148444	ENST00000376836
COMMD3	ENSG00000148444	ENST00000468179
COMMD3	ENSG00000148444	ENST00000479958
COMMD3	ENSG00000148444	ENST00000470045
COMMD3	ENSG00000148444	ENST00000456711
COMMD3	ENSG00000148444	ENST00000444869
COMMD3	ENSG00000148444	ENST00000472610
COMMD3	ENSG00000148444	ENST00000496071
COMMD3	ENSG00000148444	ENST00000463688
COMMD3	ENSG00000148444	ENST00000448361
COMMD3	ENSG00000148444	ENST00000468469
COMMD3	ENSG00000148444	ENST00000472673
COMMD3	ENSG00000148444	ENST00000483684
COMMD3	ENSG00000148444	ENST00000471350
COMMD6	ENSG00000188243	ENST00000682242
COMMD6	ENSG00000188243	ENST00000377615
COMMD6	ENSG00000188243	ENST00000483290
COMMD6	ENSG00000188243	ENST00000377619
COMMD6	ENSG00000188243	ENST00000486516
COMMD6	ENSG00000188243	ENST00000355801
COMMD6	ENSG00000188243	ENST00000497707
COMMD6	ENSG00000188243	ENST00000377612
COMMD6	ENSG00000188243	ENST00000460675
COMMD6	ENSG00000188243	ENST00000464050
COMMD6	ENSG00000188243	ENST00000477377
COMMD6	ENSG00000188243	ENST00000471682
COMMD6	ENSG00000188243	ENST00000626103
COX7A2	ENSG00000112695	ENST00000370081
COX7A2	ENSG00000112695	ENST00000370089
COX7A2	ENSG00000112695	ENST00000459637
COX7A2	ENSG00000112695	ENST00000509698
COX7A2	ENSG00000112695	ENST00000684430
COX7A2	ENSG00000112695	ENST00000460985
COX7A2	ENSG00000112695	ENST00000472311
COX7A2	ENSG00000112695	ENST00000377978
COX7A2	ENSG00000112695	ENST00000481061
COX7B	ENSG00000131174	ENST00000373335
COX7B	ENSG00000131174	ENST00000475465
COX7B	ENSG00000131174	ENST00000650309
COX7B	ENSG00000131174	ENST00000647835
COX7C	ENSG00000127184	ENST00000247655
COX7C	ENSG00000127184	ENST00000511472
COX7C	ENSG00000127184	ENST00000505430
COX7C	ENSG00000127184	ENST00000509578
COX7C	ENSG00000127184	ENST00000515763
COX7C	ENSG00000127184	ENST00000513124
COX7C	ENSG00000127184	ENST00000510447
CPD	ENSG00000108582	ENST00000225719
CPD	ENSG00000108582	ENST00000583275
CPD	ENSG00000108582	ENST00000543464
CPD	ENSG00000108582	ENST00000581826
CPD	ENSG00000108582	ENST00000584221
CPD	ENSG00000108582	ENST00000588977
CPD	ENSG00000108582	ENST00000584050
CPD	ENSG00000108582	ENST00000584051
CPD	ENSG00000108582	ENST00000579502
CPD	ENSG00000108582	ENST00000580396
CRBN	ENSG00000113851	ENST00000639284
CRBN	ENSG00000113851	ENST00000491834
CRBN	ENSG00000113851	ENST00000488263
CRBN	ENSG00000113851	ENST00000424814
CRBN	ENSG00000113851	ENST00000231948
CRBN	ENSG00000113851	ENST00000432408
CRBN	ENSG00000113851	ENST00000459840
CRBN	ENSG00000113851	ENST00000498442
CRBN	ENSG00000113851	ENST00000482844
CRBN	ENSG00000113851	ENST00000480249
CRBN	ENSG00000113851	ENST00000450014
CRBN	ENSG00000113851	ENST00000498700
CRBN	ENSG00000113851	ENST00000492178
CRBN	ENSG00000113851	ENST00000478353
CTSW	ENSG00000172543	ENST00000528419
CTSW	ENSG00000172543	ENST00000307886
CTSW	ENSG00000172543	ENST00000526034
CTSW	ENSG00000172543	ENST00000679584
CTSW	ENSG00000172543	ENST00000681512
CTSW	ENSG00000172543	ENST00000680443
CTSW	ENSG00000172543	ENST00000680670
CTSW	ENSG00000172543	ENST00000524681
CX3CR1	ENSG00000168329	ENST00000542107
CX3CR1	ENSG00000168329	ENST00000541347
CX3CR1	ENSG00000168329	ENST00000358309
CX3CR1	ENSG00000168329	ENST00000399220
CX3CR1	ENSG00000168329	ENST00000435290
CX3CR1	ENSG00000168329	ENST00000412814
CYB5R4	ENSG00000065615	ENST00000369681
CYB5R4	ENSG00000065615	ENST00000369679
CYB5R4	ENSG00000065615	ENST00000479164
CYP1B1	ENSG00000138061	ENST00000491456
CYP1B1	ENSG00000138061	ENST00000610745
CYP1B1	ENSG00000138061	ENST00000714520
CYP1B1	ENSG00000138061	ENST00000490576
CYP1B1	ENSG00000138061	ENST00000494864
CYP1B1	ENSG00000138061	ENST00000614273
CYP1B1	ENSG00000138061	ENST00000492443
CYP1B1	ENSG00000138061	ENST00000613082
DCP2	ENSG00000172795	ENST00000515408
DCP2	ENSG00000172795	ENST00000502635
DCP2	ENSG00000172795	ENST00000513585
DCP2	ENSG00000172795	ENST00000510046
DCP2	ENSG00000172795	ENST00000389063
DCP2	ENSG00000172795	ENST00000504961
DCP2	ENSG00000172795	ENST00000674880
DCP2	ENSG00000172795	ENST00000512751
DCP2	ENSG00000172795	ENST00000508359
DEFA1	ENSG00000284983	ENST00000644528
DEFA1	ENSG00000206047	ENST00000382692
DEFA3	ENSG00000284835	ENST00000642311
DEFA3	ENSG00000239839	ENST00000327857
DEFA4	ENSG00000285318	ENST00000642522
DEFA4	ENSG00000164821	ENST00000297435
DEK	ENSG00000124795	ENST00000652689
DEK	ENSG00000124795	ENST00000652292
DEK	ENSG00000124795	ENST00000651624
DEK	ENSG00000124795	ENST00000651992
DEK	ENSG00000124795	ENST00000515770
DEK	ENSG00000124795	ENST00000507591
DEK	ENSG00000124795	ENST00000505224
DEK	ENSG00000124795	ENST00000244776
DEK	ENSG00000124795	ENST00000652576
DEK	ENSG00000124795	ENST00000512145
DEK	ENSG00000124795	ENST00000503715
DEK	ENSG00000124795	ENST00000515742
DOCK11	ENSG00000147251	ENST00000276202
DOCK11	ENSG00000147251	ENST00000276204
DOCK11	ENSG00000147251	ENST00000633080
DOCK11	ENSG00000147251	ENST00000632573
DPYSL5	ENSG00000157851	ENST00000450961
DPYSL5	ENSG00000157851	ENST00000288699
DPYSL5	ENSG00000157851	ENST00000401478
DPYSL5	ENSG00000157851	ENST00000431402
DPYSL5	ENSG00000157851	ENST00000614712
DPYSL5	ENSG00000157851	ENST00000434719
DPYSL5	ENSG00000157851	ENST00000484882
EFR3A	ENSG00000132294	ENST00000254624
EFR3A	ENSG00000132294	ENST00000522709
EFR3A	ENSG00000132294	ENST00000637848
EFR3A	ENSG00000132294	ENST00000520362
EFR3A	ENSG00000132294	ENST00000519656
EFR3A	ENSG00000132294	ENST00000519920
EFR3A	ENSG00000132294	ENST00000523074
EFR3A	ENSG00000132294	ENST00000521940
EIF1AY	ENSG00000198692	ENST00000361365
EIF1AY	ENSG00000198692	ENST00000465253
EIF1AY	ENSG00000198692	ENST00000382772
EIF1AY	ENSG00000198692	ENST00000464196
EIF1AY	ENSG00000198692	ENST00000485584
EVI2A	ENSG00000126860	ENST00000462804
EVI2A	ENSG00000126860	ENST00000461237
EVI2A	ENSG00000126860	ENST00000247270
FAU	ENSG00000149806	ENST00000531743
FAU	ENSG00000149806	ENST00000529639
FAU	ENSG00000149806	ENST00000525297
FAU	ENSG00000149806	ENST00000527548
FAU	ENSG00000149806	ENST00000531357
FAU	ENSG00000149806	ENST00000279259
FAU	ENSG00000149806	ENST00000529259
FAU	ENSG00000149806	ENST00000526555
FAU	ENSG00000149806	ENST00000434372
FEM1C	ENSG00000145780	ENST00000274457
FKBP8	ENSG00000105701	ENST00000597960
FKBP8	ENSG00000105701	ENST00000544835
FKBP8	ENSG00000105701	ENST00000596558
FKBP8	ENSG00000105701	ENST00000222308
FKBP8	ENSG00000105701	ENST00000608443
FKBP8	ENSG00000105701	ENST00000601844
FKBP8	ENSG00000105701	ENST00000596015
FKBP8	ENSG00000105701	ENST00000606531
FKBP8	ENSG00000105701	ENST00000596494
FKBP8	ENSG00000105701	ENST00000597611
FKBP8	ENSG00000105701	ENST00000599540
FKBP8	ENSG00000105701	ENST00000594844
FKBP8	ENSG00000105701	ENST00000597547
FKBP8	ENSG00000105701	ENST00000609656
FOXN2	ENSG00000170802	ENST00000413569
FOXN2	ENSG00000170802	ENST00000340553
GLRX	ENSG00000173221	ENST00000508780
GLRX	ENSG00000173221	ENST00000507605
GLRX	ENSG00000173221	ENST00000237858
GLRX	ENSG00000173221	ENST00000379979
GLRX	ENSG00000173221	ENST00000507412
GLRX	ENSG00000173221	ENST00000505427
GLRX	ENSG00000173221	ENST00000512469
GMFB	ENSG00000197045	ENST00000554908
GMFB	ENSG00000197045	ENST00000358056
GMFB	ENSG00000197045	ENST00000628554
GMFB	ENSG00000197045	ENST00000554163
GMFB	ENSG00000197045	ENST00000554247
GMFB	ENSG00000197045	ENST00000553333
GMFB	ENSG00000197045	ENST00000553566
GMFB	ENSG00000197045	ENST00000554682
GMFB	ENSG00000197045	ENST00000553952
GNG10	ENSG00000242616	ENST00000374293
GP9	ENSG00000169704	ENST00000307395
GRINA	ENSG00000178719	ENST00000395068
GRINA	ENSG00000178719	ENST00000313269
GRINA	ENSG00000178719	ENST00000529301
GRINA	ENSG00000178719	ENST00000530898
GRINA	ENSG00000178719	ENST00000531992
GRINA	ENSG00000178719	ENST00000534791
GRINA	ENSG00000178719	ENST00000525513
GRINA	ENSG00000178719	ENST00000533044
GRINA	ENSG00000178719	ENST00000527194
GRINA	ENSG00000178719	ENST00000533377
GZMH	ENSG00000100450	ENST00000216338
GZMH	ENSG00000100450	ENST00000557220
GZMH	ENSG00000100450	ENST00000382548
HDC	ENSG00000140287	ENST00000559816
HDC	ENSG00000140287	ENST00000267845
HDC	ENSG00000140287	ENST00000543581
HDC	ENSG00000140287	ENST00000558761
HDC	ENSG00000140287	ENST00000559190
HDC	ENSG00000140287	ENST00000558679
HDC	ENSG00000140287	ENST00000559683
HINT1	ENSG00000169567	ENST00000675100
HINT1	ENSG00000169567	ENST00000675372
HINT1	ENSG00000169567	ENST00000304043
HINT1	ENSG00000169567	ENST00000675135
HINT1	ENSG00000169567	ENST00000511475
HINT1	ENSG00000169567	ENST00000508495
HINT1	ENSG00000169567	ENST00000676117
HINT1	ENSG00000169567	ENST00000508488
HINT1	ENSG00000169567	ENST00000520028
HINT1	ENSG00000169567	ENST00000513345
HINT1	ENSG00000169567	ENST00000675491
HINT1	ENSG00000169567	ENST00000506908
HINT1	ENSG00000169567	ENST00000513012
HINT1	ENSG00000169567	ENST00000506207
HINT1	ENSG00000169567	ENST00000504202
IFNGR1	ENSG00000027697	ENST00000458076
IFNGR1	ENSG00000027697	ENST00000696693
IFNGR1	ENSG00000027697	ENST00000643119
IFNGR1	ENSG00000027697	ENST00000645045
IFNGR1	ENSG00000027697	ENST00000367739
IFNGR1	ENSG00000027697	ENST00000696694
IFNGR1	ENSG00000027697	ENST00000696695
IFNGR1	ENSG00000027697	ENST00000647124
IFNGR1	ENSG00000027697	ENST00000642390
IFNGR1	ENSG00000027697	ENST00000645753
IFNGR1	ENSG00000027697	ENST00000646036
IFNGR1	ENSG00000027697	ENST00000646898
IFNGR1	ENSG00000027697	ENST00000644894
IFNGR1	ENSG00000027697	ENST00000696696
IFNGR1	ENSG00000027697	ENST00000414770
IFNGR1	ENSG00000027697	ENST00000696697
IFNGR1	ENSG00000027697	ENST00000696698
IFNGR1	ENSG00000027697	ENST00000696699
IFNGR1	ENSG00000027697	ENST00000478333
ITGA2B	ENSG00000005961	ENST00000648408
ITGA2B	ENSG00000005961	ENST00000587295
ITGA2B	ENSG00000005961	ENST00000262407
ITGA2B	ENSG00000005961	ENST00000592462
ITGA2B	ENSG00000005961	ENST00000592226
ITGA2B	ENSG00000005961	ENST00000591990
ITGA2B	ENSG00000005961	ENST00000589645
ITGA2B	ENSG00000005961	ENST00000592075
ITGA2B	ENSG00000005961	ENST00000592253
ITGA2B	ENSG00000005961	ENST00000592944
ITGAL	ENSG00000005844	ENST00000678203
ITGAL	ENSG00000005844	ENST00000677830
ITGAL	ENSG00000005844	ENST00000562652
ITGAL	ENSG00000005844	ENST00000358164
ITGAL	ENSG00000005844	ENST00000356798
ITGAL	ENSG00000005844	ENST00000568926
ITGAL	ENSG00000005844	ENST00000565864
ITGAL	ENSG00000005844	ENST00000562857
ITGAL	ENSG00000005844	ENST00000565348
ITGAL	ENSG00000005844	ENST00000433423
ITGAL	ENSG00000005844	ENST00000569725
ITGAL	ENSG00000005844	ENST00000676652
ITGAL	ENSG00000005844	ENST00000566149
ITGAL	ENSG00000005844	ENST00000568012
ITGAL	ENSG00000005844	ENST00000564935
ITGAL	ENSG00000005844	ENST00000568987
ITGAL	ENSG00000005844	ENST00000563615
ITGAL	ENSG00000005844	ENST00000562020
ITGAL	ENSG00000005844	ENST00000679323
ITGAL	ENSG00000005844	ENST00000566267
ITGAL	ENSG00000005844	ENST00000678574
ITGAL	ENSG00000005844	ENST00000564632
KIR3DL2	ENSG00000288389	ENST00000673404
KIR3DL2	ENSG00000288389	ENST00000672168
KIR3DL2	ENSG00000284213	ENST00000640359
KIR3DL2	ENSG00000284213	ENST00000639511
KIR3DL2	ENSG00000284192	ENST00000640913
KIR3DL2	ENSG00000284192	ENST00000638168
KIR3DL2	ENSG00000278809	ENST00000611608
KIR3DL2	ENSG00000278809	ENST00000622579
KIR3DL2	ENSG00000278726	ENST00000617398
KIR3DL2	ENSG00000278726	ENST00000610914
KIR3DL2	ENSG00000284295	ENST00000639529
KIR3DL2	ENSG00000284295	ENST00000640534
KIR3DL2	ENSG00000284466	ENST00000639934
KIR3DL2	ENSG00000284466	ENST00000640567
KIR3DL2	ENSG00000275629	ENST00000616438
KIR3DL2	ENSG00000275629	ENST00000622784
KIR3DL2	ENSG00000276004	ENST00000622024
KIR3DL2	ENSG00000276004	ENST00000610507
KIR3DL2	ENSG00000276882	ENST00000610587
KIR3DL2	ENSG00000276882	ENST00000622574
KIR3DL2	ENSG00000274722	ENST00000617354
KIR3DL2	ENSG00000274722	ENST00000612138
KIR3DL2	ENSG00000278710	ENST00000621701
KIR3DL2	ENSG00000278710	ENST00000615318
KIR3DL2	ENSG00000278474	ENST00000613586
KIR3DL2	ENSG00000278474	ENST00000611628
KIR3DL2	ENSG00000278656	ENST00000615147
KIR3DL2	ENSG00000278656	ENST00000616961
